productId,currentTitle,improvedTitle,detectedBrand,detectedModel,confidenceLevel,approvedForApply,seoTitle,seoDescription,sellerNote
prod_import_xlsx_1776538003641_155,Apple iPhone 11 64GB Smartphone,Apple iPhone 11 64GB Refurbished Smartphone - UAE,Apple,iPhone 11,high,true,Apple iPhone 11 64GB Refurbished UAE,Shop Apple iPhone 11 64GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_156,Apple iPhone 11 128GB Smartphone,Apple iPhone 11 128GB Refurbished Smartphone - UAE,Apple,iPhone 11,high,true,Apple iPhone 11 128GB Refurbished UAE,Shop Apple iPhone 11 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_157,Apple iPhone 11 Pro 64GB Smartphone,Apple iPhone 11 Pro 64GB Refurbished Smartphone - UAE,Apple,iPhone 11 Pro,high,true,Apple iPhone 11 Pro 64GB Refurbished UAE,Shop Apple iPhone 11 Pro 64GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_158,Apple iPhone 11 Pro Max 64GB Smartphone,Apple iPhone 11 Pro Max 64GB Refurbished Smartphone - UAE,Apple,iPhone 11 Pro Max,high,true,Apple iPhone 11 Pro Max 64GB Refurbished UAE,Shop Apple iPhone 11 Pro Max 64GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_159,Apple iPhone 12 64GB Smartphone,Apple iPhone 12 64GB Refurbished Smartphone - UAE,Apple,iPhone 12,high,true,Apple iPhone 12 64GB Refurbished UAE,Shop Apple iPhone 12 64GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_160,Apple iPhone 12 Mini 64GB Smartphone,Apple iPhone 12 Mini 64GB Refurbished Smartphone - UAE,Apple,iPhone 12 Mini,high,true,Apple iPhone 12 Mini 64GB Refurbished UAE,Shop Apple iPhone 12 Mini 64GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_161,Apple iPhone 12 Pro 128GB Smartphone,Apple iPhone 12 Pro 128GB Refurbished Smartphone - UAE,Apple,iPhone 12 Pro,high,true,Apple iPhone 12 Pro 128GB Refurbished UAE,Shop Apple iPhone 12 Pro 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_162,Apple iPhone 12 Pro Max 128GB Smartphone,Apple iPhone 12 Pro Max 128GB Refurbished Smartphone - UAE,Apple,iPhone 12 Pro Max,high,true,Apple iPhone 12 Pro Max 128GB Refurbished UAE,Shop Apple iPhone 12 Pro Max 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_163,Apple iPhone 13 128GB Smartphone,Apple iPhone 13 128GB Refurbished Smartphone - UAE,Apple,iPhone 13,high,true,Apple iPhone 13 128GB Refurbished UAE,Shop Apple iPhone 13 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_164,Apple iPhone 13 Mini 128GB Smartphone,Apple iPhone 13 Mini 128GB Refurbished Smartphone - UAE,Apple,iPhone 13 Mini,high,true,Apple iPhone 13 Mini 128GB Refurbished UAE,Shop Apple iPhone 13 Mini 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_165,Apple iPhone 13 Pro 128GB Smartphone,Apple iPhone 13 Pro 128GB Refurbished Smartphone - UAE,Apple,iPhone 13 Pro,high,true,Apple iPhone 13 Pro 128GB Refurbished UAE,Shop Apple iPhone 13 Pro 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_166,Apple iPhone 13 Pro Max 128GB Smartphone,Apple iPhone 13 Pro Max 128GB Refurbished Smartphone - UAE,Apple,iPhone 13 Pro Max,high,true,Apple iPhone 13 Pro Max 128GB Refurbished UAE,Shop Apple iPhone 13 Pro Max 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_167,Apple iPhone 14 128GB Smartphone,Apple iPhone 14 128GB Refurbished Smartphone - UAE,Apple,iPhone 14,high,true,Apple iPhone 14 128GB Refurbished UAE,Shop Apple iPhone 14 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_168,Apple iPhone 14 Plus 128GB Smartphone,Apple iPhone 14 Plus 128GB Refurbished Smartphone - UAE,Apple,iPhone 14 Plus,high,true,Apple iPhone 14 Plus 128GB Refurbished UAE,Shop Apple iPhone 14 Plus 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_169,Apple iPhone 14 Pro 128GB Smartphone,Apple iPhone 14 Pro 128GB Refurbished Smartphone - UAE,Apple,iPhone 14 Pro,high,true,Apple iPhone 14 Pro 128GB Refurbished UAE,Shop Apple iPhone 14 Pro 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_170,Apple iPhone 14 Pro Max 128GB Smartphone,Apple iPhone 14 Pro Max 128GB Refurbished Smartphone - UAE,Apple,iPhone 14 Pro Max,high,true,Apple iPhone 14 Pro Max 128GB Refurbished UAE,Shop Apple iPhone 14 Pro Max 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_171,Apple iPhone 15 128GB Smartphone,Apple iPhone 15 128GB Refurbished Smartphone - UAE,Apple,iPhone 15,high,true,Apple iPhone 15 128GB Refurbished UAE,Shop Apple iPhone 15 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_172,Apple iPhone 15 Plus 128GB Smartphone,Apple iPhone 15 Plus 128GB Refurbished Smartphone - UAE,Apple,iPhone 15 Plus,high,true,Apple iPhone 15 Plus 128GB Refurbished UAE,Shop Apple iPhone 15 Plus 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_173,Apple iPhone 15 Pro 128GB Smartphone,Apple iPhone 15 Pro 128GB Refurbished Smartphone - UAE,Apple,iPhone 15 Pro,high,true,Apple iPhone 15 Pro 128GB Refurbished UAE,Shop Apple iPhone 15 Pro 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_174,Apple iPhone 15 Pro Max 256GB Smartphone,Apple iPhone 15 Pro Max 256GB Refurbished Smartphone - UAE,Apple,iPhone 15 Pro Max,high,true,Apple iPhone 15 Pro Max 256GB Refurbished UAE,Shop Apple iPhone 15 Pro Max 256GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_175,Apple iPhone 16 128GB Smartphone,Apple iPhone 16 128GB Refurbished Smartphone - UAE,Apple,iPhone 16,high,true,Apple iPhone 16 128GB Refurbished UAE,Shop Apple iPhone 16 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_176,Apple iPhone 16 Plus 128GB Smartphone,Apple iPhone 16 Plus 128GB Refurbished Smartphone - UAE,Apple,iPhone 16 Plus,high,true,Apple iPhone 16 Plus 128GB Refurbished UAE,Shop Apple iPhone 16 Plus 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_177,Apple iPhone 16 Pro 128GB Smartphone,Apple iPhone 16 Pro 128GB Refurbished Smartphone - UAE,Apple,iPhone 16 Pro,high,true,Apple iPhone 16 Pro 128GB Refurbished UAE,Shop Apple iPhone 16 Pro 128GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
prod_import_xlsx_1776538003641_178,Apple iPhone 16 Pro Max 256GB Smartphone,Apple iPhone 16 Pro Max 256GB Refurbished Smartphone - UAE,Apple,iPhone 16 Pro Max,high,true,Apple iPhone 16 Pro Max 256GB Refurbished UAE,Shop Apple iPhone 16 Pro Max 256GB refurbished. Draft listing prepared for verified UAE marketplace enrichment.,Batch 06 approved for content-only apply after exact model image verification and UAE/KSA price verification. Do not publish until media and pricing are confirmed for the same exact model.
